Index,Country,Accounts,Global Share,Accounts per 100 Capita,Android,iOS,Picture,Status,Business,Companions
139,Mauritius,"1,282,677",0.04,100.6,85.91,14.09,49.75,23.89,6.96,8.67
140,Papua New Guinea,"1,282,112",0.04,12.45,97.54,2.46,67.24,8.7,3.96,2.35
141,Lithuania,"1,244,831",0.04,43.82,67.52,32.48,41.19,22.18,1.76,7.4
142,Namibia,"1,239,436",0.04,42.33,87.73,12.27,65.55,27.26,9.29,5.01
143,Slovenia,"987,139",0.03,46.61,66.26,33.74,44.65,25.9,1.12,6.87
144,Liberia,"902,740",0.03,16.62,87.86,12.14,68.61,11.67,6.48,2.76
145,XK,"879,645",0.03,51.47,43.61,56.39,55.99,35.52,2.19,3.36
146,North Macedonia,"874,111",0.03,47.61,67.95,32.05,49.94,23.96,1.63,3.95
147,Guyana,"788,453",0.02,95.69,84.61,15.39,52.71,22.57,8.43,8.23
148,Timor-Leste,"781,707",0.02,56.77,89.82,10.18,63.32,20.98,16.01,3.6
149,South Sudan,"764,313",0.02,6.86,93.41,6.59,68.34,11.81,11.46,2.41
150,Cyprus,"760,791",0.02,56.86,65.46,34.54,51.68,28.35,9.61,9.13
151,Lesotho,"760,031",0.02,33.07,96.45,3.55,67.69,21.11,17.64,2.39
152,Luxembourg,"757,823",0.02,114.65,50.49,49.51,59.98,45.18,6.61,12.76
153,Estonia,"723,892",0.02,52.95,60.14,39.86,46.62,29.72,2.12,10.5
154,"Palestine, State of","710,923",0.02,13.24,74.99,25.01,53.52,23.99,11.35,7.28
155,Eswatini,"652,980",0.02,53.3,95.08,4.92,60.97,23.32,20.95,2.37
156,R̩union,"648,764",0.02,74.31,63.6,36.4,51.8,28.48,1.06,6.35
157,Suriname,"589,464",0.02,94.16,81.34,18.66,52.8,25.63,11.5,7.61
158,Brunei Darussalam,"538,420",0.02,117.82,75.9,24.1,43.19,29.39,8.18,18.45
159,Malta,"525,275",0.02,99.11,66.49,33.51,62.73,35.3,9.56,20.43
160,Mongolia,"437,102",0.01,12.82,50.17,49.83,27.83,10.27,1.45,2.98
161,Guadeloupe,"426,255",0.01,113.06,69.82,30.18,48.55,30.72,6.25,11.08
162,Equatorial Guinea,"409,264",0.01,22.43,87.52,12.48,70.13,24.83,24.8,2.26
163,Maldives,"408,370",0.01,77.78,70.85,29.15,56.26,23.38,11.28,9.98
164,Montenegro,"394,477",0.01,62.81,66.78,33.22,52.75,25.88,3.03,4.67
165,Djibouti,"382,815",0.01,33.43,94,6,65.51,24.66,20.48,4.5
166,Bhutan,"381,458",0.01,48.66,85.69,14.31,65.03,19.03,4.15,8.85
167,Turkmenistan,"376,141",0.01,5.15,86.72,13.28,40.17,4.79,0.93,0.99
168,Bahamas,"373,207",0.01,93.54,63.55,36.45,50,30.16,8.49,9.59
169,Macao,"372,978",0.01,52.61,36.25,63.75,59.16,44.43,3.94,9.07
170,Martinique,"349,780",0.01,100.8,71.49,28.51,47.15,30.25,5.26,10.92
171,Guinea-Bissau,"321,787",0.01,15.11,95.2,4.8,83.03,12.32,20.13,0.82
172,Belize,"312,767",0.01,76.66,78.47,21.53,54.13,27.41,6.36,10.96
173,Barbados,"309,488",0.01,109.75,77.4,22.6,47.83,29.07,7.33,11.6
174,Central African Republic,"297,412",0.01,5.87,95.73,4.27,74.96,11.28,11.1,1.81
175,Comoros,"297,247",0.01,35.3,92.68,7.32,61.26,13.41,15.89,2.69
176,Cabo Verde,"251,991",0.01,48.37,84.34,15.66,61.43,16.18,2.39,5.37
177,Fiji,"223,658",0.01,24.26,84.45,15.55,51.42,8.04,1.44,3.44
178,French Guiana,"223,171",0.01,74.14,67.22,32.78,53.01,28.78,8.96,8.57
179,Monaco,"187,205",0.01,480.01,44.92,55.08,65.13,51,1.31,3.65
180,Cura̤ao,"182,053",0.01,98.41,74.52,25.48,50.36,29.5,10.84,12.11
181,Iceland,"168,196",0,43.8,44.13,55.87,46.24,31.74,1.58,8.52
182,Saint Lucia,"166,833",0,93.2,81.9,18.1,49.33,26.91,7.07,9.14
183,Guam,"139,410",0,83.98,42.13,57.87,54.17,39.09,1.17,13.96
184,Mayotte,"131,005",0,42.12,80.93,19.07,53.96,13.44,2.85,2.43
185,Aruba,"123,341",0,114.2,68.74,31.26,54.46,34.54,7.77,14.31
186,New Caledonia,"117,397",0,40.76,65.56,34.44,49.17,22.94,0.91,6.3
187,French Polynesia,"115,900",0,41.25,63.59,36.41,49.94,21.29,1.62,5.62
188,Grenada,"108,829",0,93.02,80.93,19.07,53.41,26.39,6.27,10.32
189,Seychelles,"105,166",0,82.81,82.89,17.11,56.08,24.87,8.54,7.76
190,Solomon Islands,"104,790",0,13.26,90,10,59.24,6.61,1.25,1.94
191,Saint Vincent and the Grenadines,"104,325",0,102.28,82.6,17.4,51.11,25.42,5.97,8.17
192,Antigua and Barbuda,"103,257",0,111.03,75.13,24.87,51.13,28.21,7.92,9.91
193,Cayman Islands,"99,921",0,138.78,56.85,43.15,54.31,34.73,8.28,11.84
194,Jersey,"87,561",0,84.19,32.64,67.36,58.65,52.23,2.15,8.03
195,"Virgin Islands, U.S.","81,824",0,95.14,44.96,55.04,52.58,38.38,2.32,4.2
196,Andorra,"77,724",0,97.16,56.33,43.67,65.42,45.86,8.94,20.33
197,Sao Tome and Principe,"70,692",0,30.87,95.96,4.04,64.6,10.93,4.18,5.68
198,Isle of Man,"68,878",0,82,34.32,65.68,60.31,52.98,1.4,8.85
199,Dominica,"64,879",0,96.83,84.49,15.51,51.54,25.49,7.77,10.28
200,Saint Kitts and Nevis,"61,488",0,130.83,72.03,27.97,47.65,29.22,7.21,10.26
201,Turks and Caicos Islands,"61,481",0,133.65,65.39,34.61,59.16,28.02,14.81,7.53
202,Sint Maarten (Dutch part),"59,952",0,142.74,72.22,27.78,52.46,30.22,9.74,10.57
203,Bermuda,"58,893",0,90.6,41.93,58.07,56.8,44.63,2.98,11.36
204,Guernsey,"54,279",0,84.81,33.62,66.38,62.26,54.18,1.81,8.56
205,Eritrea,"49,215",0,1.43,98.95,1.05,38.74,2.62,0.54,1.25
206,"Virgin Islands, British","38,737",0,99.33,61.65,38.35,51.74,31.03,7.96,11.78
207,Northern Mariana Islands,"37,636",0,81.82,53.45,46.55,55.81,33.68,0.95,13.23
208,Vanuatu,"33,909",0,10.7,88.7,11.3,51.3,6.56,2.01,4.29
209,Samoa,"33,280",0,15.41,73.26,26.74,49.09,10.13,1.34,4.07
210,Gibraltar,"32,821",0,86.37,45.12,54.88,63.89,47.68,3.7,14.86
211,"Bonaire, Sint Eustatius and Saba","30,184",0,104.08,68.21,31.79,57.48,32.32,13.02,16.54
212,Anguilla,"17,970",0,128.36,69.13,30.87,50.55,29.12,6.76,9.62
213,Liechtenstein,"16,760",0,42.97,40.92,59.08,55.03,44.28,3.22,22.71
214,Tonga,"13,044",0,12.42,65.4,34.6,48.93,8.44,1.28,3.68
215,Faroe Islands,"10,584",0,19.6,38.58,61.42,38.32,28.73,1.33,5.98
216,Greenland,"9,129",0,16.3,44.94,55.06,35.7,14.12,1.22,2.38
217,Palau,"8,766",0,48.7,69.25,30.75,55.37,16.39,1.94,6.88
218,Kiribati,"8,125",0,6.16,91.69,8.31,45.17,2.66,1.39,1.32
219,"Micronesia, Federated States of","8,084",0,7.22,73.3,26.7,53.2,10.76,1.45,4.8
220,American Samoa,"7,364",0,15.34,53.99,46.01,42.46,10.67,1.63,3.54
221,Montserrat,"5,016",0,125.4,77.92,22.08,51.59,27.77,6.86,10.96
222,Cook Islands,"3,287",0,23.48,69.93,30.07,43.93,12.11,2.86,5.48
223,Wallis and Futuna,"3,004",0,27.31,73.33,26.67,45.31,11.72,1,4.06
224,Nauru,"2,997",0,24.98,81.74,18.26,47.45,6.84,1.67,3.44
225,Falkland Islands (Malvinas),"2,134",0,71.13,67.55,32.45,48.27,21.74,3,5.11
226,Marshall Islands,"2,032",0,5.21,66.01,33.99,49.9,11.07,1.23,7.58
227,"Saint Helena, Ascension and Tristan da Cunha","1,370",0,27.4,95.63,4.37,51.39,8.39,2.12,2.48
228,Saint Pierre and Miquelon,"1,065",0,17.75,45.79,54.21,35.59,18.97,1.31,6.48
229,Tuvalu,463,0,4.63,78.51,21.49,50.32,4.32,1.51,2.38
230,British Indian Ocean Territory,309,0,,82.09,17.91,46.28,9.71,11,3.56
231,Norfolk Island,300,0,,51.21,48.79,38,21.67,0.33,6.33
232,AC,163,0,,91.93,8.07,61.35,12.27,5.52,1.23
233,Niue,90,0,4.5,81.58,18.42,11.11,52.22,6.67,0
234,Tokelau,33,0,1.65,81.82,18.18,51.52,3.03,3.03,0
235,North Korea,5,0,0,80,20,60,20,0,60
